num_heads,hidden_dim,num_layers,dropout,test_accuracy,test_precision,test_recall,test_f1score
1,4,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,4,2,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,2,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,2,0.3,0.8133971095085144,0.0,0.0,0.0
1,4,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,4,6,0.1,0.8133971095085144,0.0,0.0,0.0
1,4,6,0.1,0.8133971095085144,0.0,0.0,0.0
1,4,6,0.3,0.8133971095085144,0.0,0.0,0.0
1,4,6,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,8,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,8,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,8,2,0.3,0.8133971095085144,0.0,0.0,0.0
1,8,2,0.3,0.7942583560943604,0.3333333432674408,0.10256410390138626,0.1568627506494522
1,8,4,0.1,0.8133971095085144,0.0,0.0,0.0
1,8,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,8,4,0.3,0.8133971095085144,0.0,0.0,0.0
1,8,4,0.3,0.8133971095085144,0.0,0.0,0.0
1,8,6,0.1,0.8133971095085144,0.0,0.0,0.0
1,8,6,0.1,0.8133971095085144,0.0,0.0,0.0
1,8,6,0.3,0.8133971095085144,0.0,0.0,0.0
1,8,6,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,16,2,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,2,0.3,0.8133971095085144,0.0,0.0,0.0
1,16,2,0.3,0.8133971095085144,0.0,0.0,0.0
1,16,4,0.1,0.8133971095085144,0.0,0.0,0.0
1,16,4,0.1,0.19617225229740143,0.18536585569381714,0.9743589758872986,0.3114754259586334
1,16,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,6,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,6,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,16,6,0.3,0.8133971095085144,0.0,0.0,0.0
1,16,6,0.3,0.8133971095085144,0.0,0.0,0.0
1,32,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,32,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,32,2,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,32,2,0.3,0.8133971095085144,0.0,0.0,0.0
1,32,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,32,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,32,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,32,4,0.3,0.8133971095085144,0.0,0.0,0.0
1,32,6,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
1,32,6,0.1,0.8133971095085144,0.0,0.0,0.0
1,32,6,0.3,0.8133971095085144,0.0,0.0,0.0
2,4,2,0.1,0.8133971095085144,0.0,0.0,0.0
1,32,6,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,4,2,0.3,0.8133971095085144,0.0,0.0,0.0
2,4,2,0.1,0.8133971095085144,0.0,0.0,0.0
2,4,2,0.3,0.8133971095085144,0.0,0.0,0.0
2,4,4,0.1,0.8133971095085144,0.0,0.0,0.0
2,4,4,0.1,0.8133971095085144,0.0,0.0,0.0
2,4,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,4,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,4,6,0.1,0.8133971095085144,0.0,0.0,0.0
2,4,6,0.3,0.8133971095085144,0.0,0.0,0.0
2,8,2,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,8,2,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,8,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,8,4,0.3,0.8133971095085144,0.0,0.0,0.0
2,8,6,0.1,0.8133971095085144,0.0,0.0,0.0
2,8,6,0.3,0.8133971095085144,0.0,0.0,0.0
2,16,2,0.1,0.8133971095085144,0.0,0.0,0.0
2,16,2,0.3,0.8133971095085144,0.0,0.0,0.0
2,16,4,0.1,0.8133971095085144,0.0,0.0,0.0
2,16,4,0.3,0.8133971095085144,0.0,0.0,0.0
2,16,6,0.1,0.8133971095085144,0.0,0.0,0.0
2,16,6,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,32,2,0.1,0.8133971095085144,0.0,0.0,0.0
2,32,2,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,32,4,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,32,4,0.3,0.8133971095085144,0.0,0.0,0.0
2,32,6,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
2,32,6,0.3,0.8133971095085144,0.0,0.0,0.0
4,4,2,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
4,4,2,0.3,0.8133971095085144,0.0,0.0,0.0
4,4,4,0.1,0.8133971095085144,0.0,0.0,0.0
4,4,4,0.3,0.8133971095085144,0.0,0.0,0.0
4,4,6,0.1,0.8133971095085144,0.0,0.0,0.0
4,4,6,0.3,0.8133971095085144,0.0,0.0,0.0
4,8,2,0.1,0.8133971095085144,0.0,0.0,0.0
4,8,2,0.3,0.8133971095085144,0.0,0.0,0.0
4,8,4,0.1,0.8133971095085144,0.0,0.0,0.0
4,8,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
4,8,6,0.1,0.8133971095085144,0.0,0.0,0.0
4,8,6,0.3,0.8133971095085144,0.0,0.0,0.0
4,16,2,0.1,0.8133971095085144,0.0,0.0,0.0
4,16,2,0.3,0.8133971095085144,0.0,0.0,0.0
4,16,4,0.1,0.8133971095085144,0.0,0.0,0.0
4,16,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
4,16,6,0.1,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
4,16,6,0.3,0.8133971095085144,0.0,0.0,0.0
4,32,2,0.1,0.8133971095085144,0.0,0.0,0.0
4,32,2,0.3,0.8133971095085144,0.0,0.0,0.0
4,32,4,0.1,0.8133971095085144,0.0,0.0,0.0
4,32,4,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
4,32,6,0.1,0.8133971095085144,0.0,0.0,0.0
4,32,6,0.3,0.1866028755903244,0.1866028755903244,1.0,0.31451615691185
